Municipality,Annual Electric Usage (MWh),Annual Electric Savings (MWh),Annual Electric Incentives ($),Annual Gas Usage (Therms),Annual Gas Savings (Therms),Annual Gas Incentives ($)
Lexington,112683.642,-545.676,2642291.58,6356355.751,117559.109,1433407.909
Leyden,2778.914,Suppressed,Suppressed,No Gas,No Gas,No Gas
Lincoln,27101.693,23.907,464122.52,1503603.166,Suppressed,Suppressed
Littleton,Municipal,Municipal,Municipal,1200215.454,15890.619,244885.218
Longmeadow,54585.412,208.714,362319.221,5250978.053,91543.3,1376458.874
Lowell,224320.707,757.509,1891873.209,21844649.7,244452.847,3995826.198
Ludlow,66323.306,247.574,1025570.089,2846138.009,30000.35,440370.416
Lunenburg,35845.645,53.913,1292947.782,564264.815,Suppressed,Suppressed
Lynn,183933.295,517.914,3783275.569,16616094.3,237312.107,3824781.517
Lynnfield,Municipal,Municipal,Municipal,3081529.581,26381.79,358673.085
Malden,125141.801,1015.349,2501105.478,10900423.34,246140.924,3832375.067
Manchester-by-the-Sea,21500.335,39.761,225226.355,1801119.978,Suppressed,Suppressed
Mansfield,Municipal,Municipal,Municipal,4227613.115,45642.64,712645.528
Marblehead,Municipal,Municipal,Municipal,6028617.787,Suppressed,Suppressed
Marion,23510.239,92.854,584642.39,857580.764,Suppressed,Suppressed
Marlborough,114370.605,187.248,1034858.739,7788009.99,87727.875,1341074.371
Marshfield,81359.102,62.785,803375.76,6300583.927,85788.57,1287812.378
Mashpee,76075.615,438.096,1796516.341,6037907.576,152953.19,1913102.559
Mattapoisett,27356.722,68.765,839077.67,1237968.197,Suppressed,Suppressed
Maynard,29069.847,22.682,444586.96,2059892.215,56582.916,931528.652
Medfield,42225.861,-193.66,685668.51,3057110.422,49485.3,596191.839
Medford,132920.289,173.282,1903413.765,12682783.62,279802.653,4119270.106
Medway,40740.78,-10.678,857856.51,2119325.696,40685.7,521981.333
Melrose,72902.254,276.807,1399764.517,5934233.738,263047.053,3596751.069
Mendon,21774.498,-135.217,536176.767,Suppressed,Suppressed,Suppressed
Merrimac,Municipal,Municipal,Municipal,1434687.811,16412.9,252282.406
Methuen,125790.211,367.642,1450441.788,11375887.33,145442.254,2864360.498
Middleborough,Municipal,Municipal,Municipal,Municipal,Municipal,Municipal
Middlefield,1929.991,Suppressed,Suppressed,No Gas,No Gas,No Gas
Middleton,Municipal,Municipal,Municipal,1170044.215,Suppressed,Suppressed
Milford,77895.156,-52.021,1303362.325,3966237.188,45228.622,507764.819
Millbury,44636.299,-107.515,1794828.411,1346181.574,35595.752,367536.452
